"id","name","short_name","code","address","phone","email","website","working_hours","x_coordinate","y_coordinate","wgs_longitude","wgs_latitude","institution_type"
12,"Vilniaus Ryto progimnazija","Ryto progimnazija","190006057","Dariaus Gerbutavičiaus g. 9","+3705 245 4198","rastine@ryto.vilnius.lm.lt","www.vilniausrytoprogimnazija.lt","7.30-18.00","6062641","578039",,,"School_type_mainstream,School_type_playschool"
13,"Vilniaus ""Santaros"" gimnazija","Santaros gimnazija","304089960","A. Juozapavičiaus g. 12","8 5 272 4841","rastine@santaros.vilnius.lm.lt",,,"6062572","582865",,,"School_type_contest"
15,"Vilniaus Saulėtekio mokykla-daugiafunkcinis centras","Saulėtekio mokykla-daugiafunkcinis centras","190007497","Kaminkelio g. 10","+370 5 269 55 22","rastine@sauletekio.vilnius.lm.lt","https://www.sauletekio.lt/","7.30-18.00","6058856","582305",,,"School_type_mainstream,School_type_playschool"
16,"Vilniaus ""Sietuvos"" progimnazija","Sietuvos progimnazija","190008784","Taikos g. 47","8 5 247 5280","rastine@sietuvos.vilnius.lm.lt","www.sietuvos.vilnius.lm.lt",,"6065678","579103",,,"School_type_mainstream"
17,"Vilniaus „Spindulio“ progimnazija","Spindulio progimnazija","190006242","Rolando Jankausko g. 17","+370 5 244 4781","rastine@spindulio.vilnius.lm.lt","www.spindulioprogimnazija.lt","7.00-18.00","6062339","577819",,,"School_type_mainstream,School_type_playschool"
18,"Vilniaus ""Šviesos"" pradinė mokykla","Šviesos pradinė mokykla","191665480","Fabijoniškių g. 23","8 5 272 4272","rastine@sviesospradine.vilnius.lm.lt","www.sviesospradine.lt",,"6065937","580249",,,"School_type_mainstream"
19,"Vilniaus Taikos progimnazija","Taikos progimnazija","195007889","Taikos g. 157","+370 5 240 0455","rastine@taikos.vilnius.lm.lt","www.taikos.vilnius.lm.lt","7.00-18.00","6064995","578173",,,"School_type_mainstream,School_type_playschool"
20,"Vilniaus ""Varpo"" suaugusiųjų gimnazija","Varpo suaugusiųjų gimnazija","190009886","V. Šopeno g. 8","8 5 213 3427","rastine@varpo.vilnius.lm.lt","www.varpo.vilnius.lm.lt",,"6060266","582646",,,"School_type_adult"
21,"Vilniaus Pavilnio progimnazija","Pavilnio progimnazija","191715435","Švarioji g. 33","8 5 238 2701","rastine@pavilnioprogimnazija.vilnius.lm.lt","www.pavilnioprogimnazija.vilnius.lm.lt",,"6060316","588067",,,"School_type_mainstream"
22,"Vilniaus „Vilties“ specialioji mokykla-daugiafunkcinis centras","Vilties specialioji mokykla-daugiafunkcinis centras","190034188","Igno Šimulionio g. 6","+370 5 244 2622","rastine@viltis.vilnius.lm.lt","www.viltiesmokykla.lt","I-IV 7:00-18:00 V 7:00-18:00","6062722","578819",,,"School_type_special,School_type_playschool"
23,"Vilniaus ""Vyturio"" pradinė mokykla","Vyturio pradinė mokykla","190009167","Taikos g. 189","8 5 246 0740","rastine@vyturio.vilnius.lm.lt","www.vyturio.vilnius.lm.lt",,"6064717","578101",,,"School_type_mainstream"
24,"Vilniaus ""Žaros"" gimnazija","Žaros gimnazija","190007910","Karklėnų g. 13","+370 5 267 4714","rastine@zaros.vilnius.lm.lt",,,"6062237","592048",,,"School_type_mainstream"
25,"Vilniaus ""Žiburio"" pradinė mokykla","Žiburio pradinė mokykla","190022638","Tuskulėnų g. 30","8 5 275 8310","rastine@ziburio.vilnius.lm.lt","www.ziburio.vilnius.lm.lt",,"6063184","583394",,,"School_type_mainstream"
26,"Vilniaus ""Židinio"" suaugusiųjų gimnazija","Židinio suaugusiųjų gimnazija","190009733","Algirdo g. 23A","8 5 233 0133","rastine@zidinio.vilnius.lm.lt","www.zidinio.vilnius.lm.lt",,"6060869","581954",,,"School_type_adult"
27,"Vilniaus Abraomo Kulviečio klasikinė gimnazija","Abraomo Kulviečio klasikinė gimnazija","195005870","Gedvydžių g. 8","8 5 246 1370","rastine@kulviecio.vilnius.lm.lt",,,"6067440","579682",,,"School_type_contest"
28,"Vilniaus Adomo Mickevičiaus licėjus","Adomo Mickevičiaus licėjus","190006961","Kruopų g. 11","8 5 213 5501","rastine@mickeviciaus.vilnius.lm.lt",,,"6060573","582514",,,"School_type_contest"
29,"Vilniaus Aleksandro Puškino gimnazija","Aleksandro Puškino gimnazija","190003470","Gabijos g. 8","+370 524 73516","rastine@puskino.vilnius.lm.lt",,,"6066745","578722",,,"School_type_contest,School_type_playschool"
30,"Vilniaus Antakalnio gimnazija","Antakalnio gimnazija","302817872","Antakalnio g. 29","+37052341802","rastine@antakalnio.vilnius.lm.lt","www.antgim.lt",,"6063463","584407","25.309550","54.700490","School_type_mainstream"
31,"Vilniaus Antakalnio progimnazija","Antakalnio progimnazija","302818006","Antakalnio g. 33","8 659 00612","rastine@antakalnio.lt","www.antakalnioprogimnazija.vilnius.lm.lt",,"6063634","584432",,,"School_type_mainstream"
32,"Vilniaus Antano Vienuolio progimnazija","Antano Vienuolio progimnazija","300134205","Aušros Vartų g. 23","8 5 231 4084","rastine@vienuolio.vilnius.lm.lt","www.vienuolio.vilnius.lm.lt",,"6060428","583174",,,"School_type_mainstream"
33,"Vilniaus Balsių progimnazija","Balsių progimnazija","302589995","Bubilo g. 8","8 523 20998","rastine@balsiu.vilnius.lm.lt","www.balsiumokykla.lt",,"6072384","587475",,,"School_type_mainstream"
34,"Vilniaus Baltupių progimnazija","Baltupių progimnazija","190000894","Didlaukio g. 23","+370 527 78345","rastine@baltupiu.vilnius.lm.lt","www.baltupiuprogimnazija.vilnius.lm.lt",,"6066691","582037",,,"School_type_mainstream,School_type_playschool"
35,"Vilniaus Barboros Radvilaitės progimnazija","Barboros Radvilaitės progimnazija","195474280","Genių g. 8","8 526 71425","rastine@radvilaites.vilnius.lm.lt","www.radvilaites.vilnius.lm.lt",,"6062251","591494",,,"School_type_mainstream"
36,"Vilniaus darželis - mokykla „Saulutė“","Saulutė","190022061","Miglos g. 1","+370 5 275 60 56","rastine@saulute.vilnius.lm.lt","http://www.saulute.vilnius.lm.lt/","7.00-19.00","6063793","580537",,,"School_type_mainstream,School_type_playschool"
37,"Vilniaus darželis - mokykla „Vaivorykštė“","Vaivorykštė","190013393","Tuskulėnų g. 42","+370 5 273 22 55","rastine@vaivorykste.vilnius.lm.lt","http://www.vaivorykste.vilnius.lm.lt/","6.30-18.30","6063314","583236",,,"School_type_mainstream,School_type_playschool"
38,"Vilniaus lopšelis-darželis „Berželis“","Berželis","190026120","Taikos g. 187","+370 5 241 64 76","rastine@berzelis.vilnius.lm.lt","https://www.berzelis.lt/","6.30-18.30","6064813","578101","25.212100","54.713640","School_type_playschool"
39,"Vilniaus darželis-mokykla „Dainorėliai“","Dainorėliai (Ankštoji g. 11)","190012291","Ankštoji g. 11","+370 5 249 7572","rastine@dainoreliu.vilnius.lm.lt","www.dainoreliai.lt","7.00-18.15","6062282","581589",,,"School_type_mainstream,School_type_playschool"
40,"Vilniaus darželis-mokykla „Lokiukas“","Lokiukas","190028139","Igno Šimulionio g. 8","+370 5 2 45 57 98","rastine@lokiukas.vilnius.lm.lt","http://www.lokiukas.vilnius.lm.lt/","6.30-18.30","6062788","578971",,,"School_type_mainstream,School_type_playschool"
41,"Vilniaus darželis-mokykla „Šaltinėlis“","Šaltinėlis","190021689","Šaltkalvių g. 13","+370 5 216 6071","rastine@saltinelis.vilnius.lm.lt","www.saltinelis.vilnius.lm.lt","6.00-18.00","6059207","581916",,,"School_type_mainstream,School_type_playschool"
42,"Vilniaus darželis-mokykla „Svaja“","Svaja","190026654","Architektų g. 210","+370 5 244 3730","rastine@svajos.vilnius.lm.lt","www.vilniaussvaja.lt","7.00-18.00","6061055","578652",,,"School_type_mainstream,School_type_playschool"
43,"Vilniaus darželis-mokykla „Vilija“","Vilija","190022976","Taikos g. 15","+370 5 242 64 40","rastine@vilija.vilnius.lm.lt","http://www.dmvilija.lt/","6.30-18.30","6065439","579250",,,"School_type_mainstream,School_type_playschool"
44,"Vilniaus lopšelis-darželis „Žiburėlis“","Žiburėlis","290028510","Laisvės pr. 46","+37052423917","rastine@ziburelis.vilnius.lm.lt",,"7.00-19.00","6063037","578464","25.217260","54.697620","School_type_playschool"
45,"Vilniaus Emilijos Pliaterytės progimnazija","Emilijos Pliaterytės progimnazija","195472653","Žirmūnų g. 119","+370 5 277 0792","rastine@pliaterytes.lt","www.pliaterytes.lt",,"6066489","584012",,,"School_type_mainstream,School_type_playschool"
46,"Vilniaus Fabijoniškių gimnazija","Fabijoniškių gimnazija","190003851","P. Žadeikos g. 2","8 524 83048","rastine@fabijoniskiu.vilnius.lm.lt",,,"6066820","579870",,,"School_type_mainstream"
47,"Vilniaus Filaretų pradinė mokykla","Filaretų pradinė mokykla","190004234","Filaretų g. 43a","8 5 215 4963","rastine@filaretu.vilnius.lm.lt","www.filaretai.lt",,"6061781","584659",,,"School_type_mainstream"
48,"Vilniaus Gabijos gimnazija","Gabijos gimnazija","305607530","Pašilaičių g. 13","8 5 270 3140","rastine@gabijos.vilnius.lm.lt","www.gabijos.lt",,"6066906","579258",,,"School_type_mainstream"
49,"Vilniaus Gabrielės Petkevičaitės-Bitės suaugusiųjų mokymo centras","Gabrielės Petkevičaitės-Bitės suaugusiųjų mokymo centras","291710460","Žirmūnų g. 32","8 5 2797624","rastine@bitescentras.vilnius.lm.lt","www.gpbite.eu",,"6063664","583795",,,"School_type_adult"
50,"Vilniaus Gedimino technikos universiteto inžinerijos licėjus","Gedimino technikos universiteto inžinerijos licėjus","190001843","Antakalnio g. 120","8 5 234 2084","rastine@vilicejus.vilnius.lm.lt",,,"6065310","584782",,,"School_type_contest"
51,"Vilniaus Gerosios Vilties progimnazija","Gerosios Vilties progimnazija","190004615","Skroblų g. 3","+370 523 36449","rastine@vilties.vilnius.lm.lt","www.vilties.vilnius.lm.lt",,"6060148","580889",,,"School_type_mainstream,School_type_playschool"
52,"Vilniaus Jeruzalės progimnazija","Jeruzalės progimnazija","190000937","Mokyklos g. 9","8 618 21140","rastine@jeruzale.vilnius.lm.lt","www.vjp.lt",,"6068407","582015",,,"School_type_mainstream"
53,"Vilniaus Joachimo Lelevelio inžinerijos gimnazija","Joachimo Lelevelio inžinerijos gimnazija","190000175","Minties g. 3","+370 5 234 20 87","rastine@lelevelio.vilnius.lm.lt","http://www.lelevelio.lt/","7.30-18.00","6064005","583687",,,"School_type_contest,School_type_playschool"
54,"Vilniaus Jono Basanavičiaus gimnazija","Jono Basanavičiaus gimnazija","302522904","S. Konarskio g. 34","8 5 233 0452","rastine@basanaviciaus.vilnius.lm.lt","www.basanaviciaus.vilnius.lm.lt",,"6060598","580289",,,"School_type_mainstream"
55,"Vilniaus Jono Basanavičiaus progimnazija","Jono Basanavičiaus progimnazija","302523034","S. Konarskio g. 27","8 52 131288","rastine@basanaviciausprogimnazija.vilnius.lm.lt","www.basanaviciausprogimnazija.lt",,"6061077","580974",,,"School_type_mainstream"
56,"Vilniaus Jono Ivaškevičiaus jaunimo mokykla","Jono Ivaškevičiaus jaunimo mokykla","191709681","Viršuliškių g. 103","8 5 240 0918","rastine@ivaskeviciaus.vilnius.lm.lt","www.ivaskeviciaus.lt",,"6063808","579613",,,"School_type_adult"
57,"Vilniaus Šv. Jono Pauliaus II gimnazija","Šv. Jono Pauliaus II gimnazija","191715588","Virginijaus Druskio g. 11","+370 67113575","rastine@jp2gimnazija.vilnius.lm.lt","www.jp2.lt",,"6061796","577389",,,"School_type_mainstream"
58,"Vilniaus Jono Pauliaus II progimnazija","Jono Pauliaus II progimnazija","195472315","Rygos g. 10","+370 5 241 88 94","rastine@jonopauliausprogimnazija.vilnius.lm.lt",,"7.00-18.00","6065110","578729",,,"School_type_mainstream,School_type_playschool"
59,"Vilniaus Juzefo Ignacijaus Kraševskio gimnazija","Juzefo Ignacijaus Kraševskio gimnazija","190007878","Rugiagėlių g. 15","+370 5 2 67 15 27","rastine@krasevskio.vilnius.lm.lt","http://www.vjikg.lt/","7.45-18.00","6063483","591579",,,"School_type_mainstream,School_type_playschool"
60,"Vilniaus karaliaus Mindaugo mokykla","karaliaus Mindaugo mokykla","190005336","Mindaugo g. 9","+370 526 52383","rastine@mindaugo.vilnius.lm.lt","www.karaliusmindaugas.lt","7.30-18.00","6060990","582092",,,"School_type_mainstream,School_type_playschool"
61,"Vilniaus Karoliniškių gimnazija","Karoliniškių gimnazija","190008631","Sausio 13-osios g. 17","8 5 245 2443","rastine@karoliniskiugimnazija.vilnius.lm.lt","www.vkg.vilnius.lm.lt",,"6062284","578453",,,"School_type_mainstream"
62,"Vilniaus Lazdynų mokykla","Lazdynų mokykla (Žėručio g. 4)","190005489","Žėručio g. 4","+370 524 45158","rastine@lazdynu.vilnius.lm.lt","www.lazdynumokykla.lt","I-IV 7.00-18.00, V-7.00-17.30","6060587","578209",,,"School_type_mainstream,School_type_playschool"
63,"Vilniaus Levo Karsavino mokykla","Levo Karsavino mokykla","190002411","Justiniškių g. 43","+370 524 10213","rastine@karsavino.vilnius.lm.lt","www.karsavino.vilnius.lm.lt","7.00-19.00","6063782","578569",,,"School_type_mainstream,School_type_playschool"
64,"Vilniaus licėjus","Vilniaus licėjus","291221220","Širvintų g. 82","8 5 277 5836","rastine@licejus.lt",,,"6064722","582373",,,"School_type_contest"
65,"Vilniaus Liepkalnio mokykla","Liepkalnio mokykla","190007159","Liepkalnio g. 18","+370 5 2626612","rastine@liepkalnio.vilnius.lm.lt","www.liepkalnio.vilnius.lm.lt","7.00-17.30","6059802","583698",,,"School_type_mainstream,School_type_playschool"
66,"Vilniaus Maironio progimnazija","Maironio progimnazija","190002564","Čiobiškio g. 1","+370 524 00547","rastine@maironioprogimnazija.vilnius.lm.lt","www.maironio.lt","7.00-18.00","6064950","579723",,,"School_type_mainstream,School_type_playschool"
67,"Vilniaus Martyno Mažvydo progimnazija","Martyno Mažvydo progimnazija","195003862","Vydūno g. 17A","+370 5 279 5579","rastine@mazvydo.vilnius.lm.lt","www.mmazvydas.lt",,"6064020","576069",,,"School_type_mainstream,School_type_playschool"
68,"Vilniaus Medeinos pradinė mokykla","Medeinos pradinė mokykla","190032746","Medeinos g. 27","8 5 247 0676","rastine@medeinos.vilnius.lm.lt","www.medeinosmokykla.lt",,"6066212","578738",,,"School_type_mainstream"
69,"Vilniaus Mykolo Biržiškos gimnazija","Mykolo Biržiškos gimnazija","190003328","Taikos g. 81","8 5 242 1611","rastine@birziskos.vilnius.lm.lt",,,"6065892","578372",,,"School_type_contest"
70,"Vilniaus Naujamiesčio mokykla","Naujamiesčio mokykla","290004420","T. Ševčenkos g. 17","8 523 32349","rastine@naujamiescio.vilnius.lm.lt","www.naujamiescio.lt",,"6060870","581718",,,"School_type_mainstream"
71,"Vilniaus Naujininkų progimnazija","Naujininkų progimnazija","190007344","Šaltkalvių g. 32","+370 5 216 6366","rastine@naujininku.vilnius.lm.lt","www.naujininkumokykla.lt","7.30-18.00","6058943","581862",,,"School_type_mainstream,School_type_playschool"
72,"Vilniaus Ozo gimnazija","Ozo gimnazija","190009014","Ozo g. 39","8 5 240 0786","rastine@ozo.vilnius.lm.lt",,,"6064277","580126",,,"School_type_contest"
73,"Vilniaus Pavilnio pagrindinė mokykla","Pavilnio pagrindinė mokykla","190008065","J. Kolaso g. 18","+370 5 267 4889","rastine@pavilnio.vilnius.lm.lt","www.pavilnys.vilnius.lm.lt","7.30-17.30","6060131","587362",,,"School_type_mainstream,School_type_playschool"
74,"Vilniaus Petro Vileišio progimnazija","Petro Vileišio progimnazija","195008119","Filaretų g. 3","869811220","rastine@pvileisis.vilnius.lm.lt","www.pvileisis.vilnius.lm.lt",,"6061548","584106",,,"School_type_mainstream"
75,"Vilniaus Pilaitės gimnazija","Pilaitės gimnazija","190006438","Įsruties g. 3","8 5 230 7442","rastine@pilaites.vilnius.lm.lt","www.pilaitesgimnazija.lt",,"6063661","576127",,,"School_type_mainstream"
76,"Vilniaus Pranciškaus Skorinos gimnazija","Pranciškaus Skorinos gimnazija","191722390","Sietyno g. 21","+370 5 245 91 27","rastine@skorinos.vilnius.lm.lt","https://skorinosgimnazija.lt/","7.30-18.00","6062539","577833",,,"School_type_contest,School_type_playschool"
77,"Vilniaus Prano Mašioto pradinė mokykla","Prano Mašioto pradinė mokykla","195008076","Žirmūnų g. 53","8 5 277 2736","rastine@masioto.vilnius.lm.lt","www.masioto.lt",,"6065142","584206",,,"School_type_mainstream"
78,"Vilniaus Radvilų gimnazija","Radvilų gimnazija","190003285","Gelvonų g. 55","8 5 240 5196","rastine@radvilu.vilnius.lm.lt","www.radvilu.vilnius.lm.lt",,"6065349","581206",,,"School_type_mainstream"
79,"Vilniaus Salininkų gimnazija","Salininkų gimnazija","191317118","Vaikų g. 16","+370 5 235 8167","rastine@salininku.vilnius.lm.lt","www.salininku.vilnius.lm.lt","7.15-17.45","6053400","581401",,,"School_type_mainstream,School_type_playschool"
80,"Vilniaus „Vyčio“ gimnazija","Vyčio gimnazija","190004387","Vilniaus g. 32","+37069804365","rastine@sneries.vilnius.lm.lt","www.sneries.vilnius.lm.lt",,"6061291","582635",,,"School_type_mainstream"
81,"Vilniaus Sausio 13-osios progimnazija","Sausio 13-osios progimnazija","190005293","Architektų g. 166","+370 5 244 35 29","rastine@sausio13.vilnius.lm.lt","https://sausio13progimnazija.lt/","7.00-18.00","6061530","578374",,,"School_type_mainstream,School_type_playschool"
82,"Vilniaus savivaldybės Grigiškių ""Šviesos"" gimnazija","Grigiškių ""Šviesos"" gimnazija","190661671","Vilniaus m. sav. Grigiškių m. Šviesos g. 16","8 5 243 2610","rastine@sviesosgimnazija.vilnius.lm.lt","www.gsviesa.lt",,,,,,"School_type_mainstream"
83,"Vilniaus savivaldybės Grigiškių lopšelis-darželis „Pelėdžiukas“","Pelėdžiukas","190648396","Lentvario g. 1A","+370 5 243 23 45","rastine@peledziukas.vilnius.lm.lt","https://www.grigiskiupeledziukas.lt/","6.30 - 18.30","6060360","569725","25.081060","54.674860","School_type_playschool"
84,"Vilniaus savivaldybės Grigiškių gimnazija","Grigiškių gimnazija","190661333","Vilniaus m. sav. Grigiškių m. Kovo 11-osios g. 21","+370 5 243 25 55","rastine@grigiskiugimnazija.lt","http://www.grigiskiumokykla.lt/","I-IV 7:30 – 17:30, V 7:30 – 17:00",,,,,"School_type_mainstream,School_type_playschool"
87,"Vilniaus Senvagės gimnazija","Senvagės gimnazija","190002226","Širvintų g. 80","8 5 277 0814","rastine@senvages.vilnius.lm.lt","www.senvagesgimnazija.lt",,"6064637","582339",,,"School_type_mainstream"
88,"Vilniaus Šeškinės pradinė mokykla","Šeškinės pradinė mokykla","191713384","Šeškinės g. 15","8 524 68767","rastine@seskinespradine.vilnius.lm.lt","www.seskinespradine.vilnius.lm.lt",,"6064839","580702",,,"School_type_mainstream"
89,"Vilniaus Šilo ugdymo centras","Vilniaus Šilo ugdymo centras","191722433","Lakštingalų g. 8","+370 5 277 79 58","rastine@silospecialioji.vilnius.lm.lt","http://vilniaussilomokykla.lt/","7:00-19:00","6066865","585309",,,"School_type_special,School_type_playschool"
90,"Vilniaus Simono Daukanto gimnazija","Simono Daukanto gimnazija","301806652","J. Jasinskio g. 11","8 5 249 6517","rastine@daukanto.vilnius.lm.lt","www.daukanto.vilnius.lm.lt",,"6062062","581472",,,"School_type_mainstream"
91,"Vilniaus Simono Daukanto progimnazija","Simono Daukanto progimnazija","301806638","Naugarduko g. 7","8 5 233 1488","rastine@daukantoprogimnazija.vilnius.lm.lt","www.daukantopagrindine.vilnius.lm.lt.migdolas.serveriai.lt",,"6060782","582206",,,"School_type_mainstream"
92,"Vilniaus Simono Konarskio gimnazija","Simono Konarskio gimnazija","190005140","Statybininkų g. 5","+370 5 213 05 18","rastine@konarskio.vilnius.lm.lt","http://www.konarskio.lt/","7.00-18.00","6060422","581103",,,"School_type_contest,School_type_playschool"
93,"Vilniaus Simono Stanevičiaus progimnazija","Simono Stanevičiaus progimnazija","290008970","S. Stanevičiaus g. 25","+370 5 270 22 23","rastine@staneviciaus.vilnius.lm.lt","https://staneviciaus.lt/","7.00-18.30","6065963","580949",,,"School_type_mainstream,School_type_playschool"
94,"Vilniaus ""Sostinės"" gimnazija","Sostinės gimnazija","304075188","Dūkštų g. 30","+37060000000","rastine@sostinesgimnazija.vilnius.lm.lt","www.sofijoskovalevskajosmokykla.lt",,"6064514","580137",,,"School_type_mainstream"
95,"Vilniaus Sofijos Kovalevskajos progimnazija","Sofijos Kovalevskajos progimnazija","304075156","Dūkštų g. 30","8 5 240 0942","rastine@kovalevskajosprogimnazija.vilnius.lm.lt","www.sofijoskovalevskajosmokykla.lt",,"6064514","580137",,,"School_type_mainstream"
96,"Vilniaus Šolomo Aleichemo ORT gimnazija","Šolomo Aleichemo ORT gimnazija","190009352","J. I. Kraševskio g. 5","+37052410235","rastine@aleichemo.vilnius.lm.lt",,,"6061984","580896",,,"School_type_contest,School_type_playschool"
98,"Vilniaus suaugusiųjų mokymo centras","Suaugusiųjų mokymo centras","190009548","Vykinto g. 11","8 5 275 1533","rastine@smc.vilnius.lm.lt","www.vsmc.lt",,"6062169","580799",,,"School_type_adult"
99,"Vilniaus šv. Kristoforo gimnazija","Šv. Kristoforo gimnazija","302420721","Kazliškių g. 4","8 5 273 5350","rastine@kristoforo.vilnius.lm.lt","www.kristoforogimnazija.lt",,"6063277","583064",,,"School_type_mainstream"
100,"Vilniaus šv. Kristoforo progimnazija","Šv. Kristoforo progimnazija","302420714","Kalvarijų g. 87","85 275 29 73","rastine@kristoforoprogimnazija.vilnius.lm.lt","www.kristoforopro.lt",,"6064055","582821",,,"School_type_mainstream"
101,"Vilniaus Trakų Vokės gimnazija","Trakų Vokės gimnazija","191317260","Trampolio g. 5","+370 5 264 5190","rastine@vokes.vilnius.lm.lt","www.vokes.vilnius.lm.lt","7.00-18.00","6055129","571743",,,"School_type_mainstream,School_type_playschool"
102,"Vilniaus Tuskulėnų gimnazija","Tuskulėnų gimnazija","190002030","Tuskulėnų g. 31","8 5 279 9450","rastine@tuskulenu.vilnius.lm.lt",,,"6063573","583597",,,"School_type_contest"
103,"Vilniaus Užupio gimnazija","Užupio gimnazija","190001124","Krivių g. 10","8 5 261 4023","rastine@uzupio.vilnius.lm.lt","www.vug.lt",,"6061502","583929",,,"School_type_mainstream"
104,"Vilniaus Vaduvos darželis-mokykla","Vaduvos","290013960","Vaduvos g. 14A","+370 5 232 28 77","rastine@vaduvos.vilnius.lm.lt","http://vaduvos.lt/","6.30-18.30","6056378","577898",,,"School_type_mainstream,School_type_playschool"
105,"Vilniaus Vasilijaus Kačialovo gimnazija","Vasilijaus Kačialovo gimnazija","290005860","Apolinaro Juozo Povilaičio g. 1","8 5 246 0039","rastine@kacialovo.vilnius.lm.lt","www.kachialov.lt",,"6062953","579140",,,"School_type_mainstream"
106,"Vilniaus Verkių mokykla-daugiafunkcis centras","Verkių mokykla-daugiafunkcis centras","190981237","Verkių g. 62","8 5 277 2844","rastine@verkiuspecialioji.vilnius.lm.lt","www.verkiumokykla.lt","7:00-17:00","6066027","583291",,,"School_type_special,School_type_playschool"
107,"Vilniaus Vilkpėdės lopšelis-darželis","Vilkpėdės","190016699","Gerosios Vilties g. 15","+37052339838","rastine@vilkpedes.lt","http://www.vilkpedes.lt/","7.00-18.30","6059880","580271","25.244420","54.668980","School_type_playschool"
108,"Vilniaus Viršuliškių mokykla","Viršuliškių mokykla","190002379","Viršuliškių g. 7","+370 5 240 0584","rastine@virsuliskiu.vilnius.lm.lt","www.virsuliskiu.vilnius.lm.lt",,"6064745","579010",,,"School_type_mainstream,School_type_playschool"
109,"Vilniaus Vytauto Didžiojo gimnazija","Vytauto Didžiojo gimnazija","300134269","Augustijonų g. 8","8 5 279 1305","rastine@vytautodidziojo.vilnius.lm.lt","www.vvdg.lt",,"6060911","583204",,,"School_type_mainstream"
110,"Vilniaus Vytės Nemunėlio pradinė mokykla","Vytės Nemunėlio pradinė mokykla","195472468","M. Daukšos g. 7","8 526 22947","rastine@nemunelio.vilnius.lm.lt","www.vytenemunelis.lt",,"6060540","583363",,,"School_type_mainstream"
111,"Vilniaus Vladislavo Sirokomlės gimnazija","Vladislavo Sirokomlės gimnazija","190001462","Linkmenų g. 8","+370 5 275 1047","rastine@sirokomles.vilnius.lm.lt",,"I-IV 7:30-18:00  V-7:30-17:00","6063489","581831",,,"School_type_contest,School_type_playschool"
112,"Vilniaus Volungės darželis-mokykla","Volungės","191713046","Volungės g. 10","+370 5 271 05 82","rastine@volunges.vilnius.lm.lt","https://volunges.lt/","7.00-18.30","6063736","585009",,,"School_type_mainstream,School_type_playschool"
113,"Vilniaus Žaliakalnio darželis-mokykla","Žaliakalnio","191713231","Pergalės g. 22","+370 5 267 1626","rastine@zaliakalnio.vilnius.lm.lt","www.zaliakalniodm.lt","7.00-19.00","6062066","591084",,,"School_type_mainstream,School_type_playschool"
